metric,value
row_count,114
columns,curated_section_id|year|section_index|title|theme|source_type|semantic_source_file|original_report_file|original_start_pdf_page|original_end_pdf_page|locate_method|word_count|text_path
unique_years,19
unique_themes,13
min_year,2007
max_year,2025
total_word_count,1037696
sections_in_2007,6
sections_in_2008,10
sections_in_2009,6
sections_in_2010,7
sections_in_2011,2
sections_in_2012,2
sections_in_2013,5
sections_in_2014,5
sections_in_2015,3
sections_in_2016,7
sections_in_2017,6
sections_in_2018,5
sections_in_2019,6
sections_in_2020,6
sections_in_2021,4
sections_in_2022,4
sections_in_2023,7
sections_in_2024,7
sections_in_2025,16
