year,legacy_split_title,path,size_bytes
2007,God vård,source/Data_split/2007-God vård.pdf,25185293
2007,Kostnader,source/Data_split/2007-Kostnader.pdf,10970758
2007,Personal,source/Data_split/2007-Personal.pdf,9188847
2007,Social omsorg och service,source/Data_split/2007-Social omsorg och service.pdf,6220351
2007,Svensk äldreomsrog och metod,source/Data_split/2007-Svensk äldreomsrog och metod.pdf,7355293
2007,Äldreomsorgens innehåll,source/Data_split/2007-Äldreomsorgens innehåll.pdf,4359579
2008,Förebyggande arbete,source/Data_split/2008-Förebyggande arbete.pdf,3099137
2008,Insatser i ordinärt boende,source/Data_split/2008-Insatser i ordinärt boende.pdf,4740866
2008,Kommunens roll och ansvar för äldreomsorgen,source/Data_split/2008-Kommunens roll och ansvar för äldreomsorgen.pdf,3986800
2008,Läkemedelsförskrivningar,source/Data_split/2008-Läkemedelsförskrivningar.pdf,7359678
2008,Medicinskt stöd,source/Data_split/2008-Medicinskt stöd.pdf,3353655
2008,Resultatindikatorer-social omsorg och service i särskilt boende,source/Data_split/2008-Resultatindikatorer-social omsorg och service i särskilt boende.pdf,7470423
2008,Resultatindikatorer,source/Data_split/2008-Resultatindikatorer.pdf,16180646
2008,Stöd till person som drabbats av stroke,source/Data_split/2008-Stöd till person som drabbats av stroke.pdf,5710724
2008,Svensk vård och omsorg om äldre och metod,source/Data_split/2008-Svensk vård och omsorg om äldre och metod.pdf,10924996
2008,Vård i livets slutskede,source/Data_split/2008-Vård i livets slutskede.pdf,5751781
2009,Att möta effektivitet och produktivitet,source/Data_split/2009-Att möta effektivitet och produktivitet.pdf,4569752
2009,Bakgrundsmått,source/Data_split/2009-Bakgrundsmått.pdf,1470613
2009,Kommunens roll och ansvar för äldreomsorg,source/Data_split/2009-Kommunens roll och ansvar för äldreomsorg.pdf,2342796
2009,Resultatindikatorer,source/Data_split/2009-Resultatindikatorer.pdf,34730974
2009,Resursindikatorer,source/Data_split/2009-Resursindikatorer.pdf,5029901
2009,Svensk vård och omsorg om äldre i ett europeiskt perspektiv,source/Data_split/2009-Svensk vård och omsorg om äldre i ett europeiskt perspektiv.pdf,3356289
2010,Bakgrundsindikatorer,source/Data_split/2010-Bakgrundsindikatorer.pdf,7640647
2010,De äldres omdöme om hemtjänst och säbo,source/Data_split/2010-De äldres omdöme om hemtjänst och säbo.pdf,4159117
2010,Personal och kompetens,source/Data_split/2010-Personal och kompetens.pdf,1405827
2010,Riskfylld användning av läkemedel,source/Data_split/2010-Riskfylld användning av läkemedel.pdf,3114206
2010,Riskförebyggande arbete,source/Data_split/2010-Riskförebyggande arbete.pdf,4662512
2010,Tillgänglighet,source/Data_split/2010-Tillgänglighet.pdf,1502380
2010,Vprd och omsorg vid specikika behov,source/Data_split/2010-Vprd och omsorg vid specikika behov.pdf,5611303
2011,Redovisning av indikatorer,source/Data_split/2011-Redovisning av indikatorer.pdf,26454522
2011,Tolkning av resultat och datakällor,source/Data_split/2011-Tolkning av resultat och datakällor.pdf,2169805
2012,Redovisning av indikatorer,source/Data_split/2012-Redovisning av indikatorer.pdf,40881322
2012,Tolkning av resultat och datakällor,source/Data_split/2012-Tolkning av resultat och datakällor.pdf,5061062
2013,Behovsbedömning och planering,source/Data_split/2013-Behovsbedömning och planering.pdf,2947083
2013,Indikatorer i Öppna jämförelser,source/Data_split/2013-Indikatorer i Öppna jämförelser.pdf,2711036
2013,Omsorg och social samvaro,source/Data_split/2013-Omsorg och social samvaro.pdf,12176332
2013,Sammanhållen vård och omsorg,source/Data_split/2013-Sammanhållen vård och omsorg.pdf,15339146
2013,Äldres hälsa,source/Data_split/2013-Äldres hälsa.pdf,4654043
2014,Indikatorer i Öppna jämförelser,source/Data_split/2014-Indikatorer i Öppna jämförelser.pdf,5082956
2014,Omsorg och stöd i ordinärt och särskilt boende,source/Data_split/2014-Omsorg och stöd i ordinärt och särskilt boende.pdf,17552185
2014,Sammanhållen vård och omsorg,source/Data_split/2014-Sammanhållen vård och omsorg.pdf,24000064
2014,Tolkning och analys av resultat (jmf. aktuellt),source/Data_split/2014-Tolkning och analys av resultat (jmf. aktuellt).pdf,4637215
2014,Äldres livssituation och hälsa,source/Data_split/2014-Äldres livssituation och hälsa.pdf,3912041
2015,Sammanhållen vård och omsorg,source/Data_split/2015-Sammanhållen vård och omsorg.pdf,6112517
2015,Tolkning och analys av resultat (jmf. aktuellt),source/Data_split/2015-Tolkning och analys av resultat (jmf. aktuellt).pdf,11525017
2015,Vård och omsorg,source/Data_split/2015-Vård och omsorg.pdf,15527117
2016,Aktuell utveckling,source/Data_split/2016-Aktuell utveckling.pdf,721719
2016,Individanpassas vård och omsprg,source/Data_split/2016-Individanpassas vård och omsprg.pdf,1007787
2016,Jämlik vård och omsorg,source/Data_split/2016-Jämlik vård och omsorg.pdf,409869
2016,Kunskapsbaserad vård och omsorg,source/Data_split/2016-Kunskapsbaserad vård och omsorg.pdf,1484058
2016,Resurser för vård och omsorg,source/Data_split/2016-Resurser för vård och omsorg.pdf,1205776
2016,Säker vård och omsorg,source/Data_split/2016-Säker vård och omsorg.pdf,969604
2016,Tillgänglig vård och omsorg,source/Data_split/2016-Tillgänglig vård och omsorg.pdf,188470
2017,Aktuell utveckling,source/Data_split/2017-Aktuell utveckling.pdf,216253
2017,Jämlik vård och omsorg,source/Data_split/2017-Jämlik vård och omsorg.pdf,163688
2017,Kunskapsbaserad vård och omsorg,source/Data_split/2017-Kunskapsbaserad vård och omsorg.pdf,179993
2017,Resurser för vård och omsorg,source/Data_split/2017-Resurser för vård och omsorg.pdf,248744
2017,Säker vård och omsorg,source/Data_split/2017-Säker vård och omsorg.pdf,188759
2017,Tillgänglig vård och omsorg,source/Data_split/2017-Tillgänglig vård och omsorg.pdf,145034
2018,Aktuell utveckling,source/Data_split/2018-Aktuell utveckling.pdf,344355
2018,Jämlik vård och omsorg,source/Data_split/2018-Jämlik vård och omsorg.pdf,139925
2018,Resurser för vård och omsorg,source/Data_split/2018-Resurser för vård och omsorg.pdf,309636
2019,Aktuell utveckling,source/Data_split/2019-Aktuell utveckling.pdf,338199
2019,Jämlik vård och omsorg,source/Data_split/2019-Jämlik vård och omsorg.pdf,212469
2019,Kunskapsbaserad vård,source/Data_split/2019-Kunskapsbaserad vård.pdf,228003
2019,Resurser för vård och omsorg,source/Data_split/2019-Resurser för vård och omsorg.pdf,230749
2019,Säker vård och omsorg,source/Data_split/2019-Säker vård och omsorg.pdf,206976
2019,Tillgänglig vård och omsorg,source/Data_split/2019-Tillgänglig vård och omsorg.pdf,154294
2020,Aktuell utveckling,source/Data_split/2020-Aktuell utveckling.pdf,112221
2020,Jämlik vård och omsorg,source/Data_split/2020-Jämlik vård och omsorg.pdf,152207
2020,Kunskapsbaserad vård och omsorg,source/Data_split/2020-Kunskapsbaserad vård och omsorg.pdf,252019
2020,Resurser för vård och omsorg,source/Data_split/2020-Resurser för vård och omsorg.pdf,122689
2020,Säker vård och omsorg,source/Data_split/2020-Säker vård och omsorg.pdf,169495
2020,Tillgänglig vård och omsorg,source/Data_split/2020-Tillgänglig vård och omsorg.pdf,128657
2021,Aktuell utveckling,source/Data_split/2021-Aktuell utveckling.pdf,266704
2021,Jämlik vård och omsorg,source/Data_split/2021-Jämlik vård och omsorg.pdf,279264
2021,Kunskapsbaserad vård och,source/Data_split/2021-Kunskapsbaserad vård och.pdf,117659
2021,Tillgänglig vård och omsorg,source/Data_split/2021-Tillgänglig vård och omsorg.pdf,299419
2022,Aktuell utveckling,source/Data_split/2022-Aktuell utveckling.pdf,379219
2022,Kunskapsbaserad vård och omrsog,source/Data_split/2022-Kunskapsbaserad vård och omrsog.pdf,267335
2022,Resurser för vård och omsorg,source/Data_split/2022-Resurser för vård och omsorg.pdf,228515
2022,Tillgänglig vård och omsorg,source/Data_split/2022-Tillgänglig vård och omsorg.pdf,283853
2023,Aktuell utveckling,source/Data_split/2023-Aktuell utveckling.pdf,260531
2023,Jämlik vård och omsorg,source/Data_split/2023-Jämlik vård och omsorg.pdf,201410
2023,Kunskapsbaserad vård och omsorg,source/Data_split/2023-Kunskapsbaserad vård och omsorg.pdf,231229
2023,Munhälsa hos äldre,source/Data_split/2023-Munhälsa hos äldre.pdf,92628
2023,Resurser för vård och omsorg,source/Data_split/2023-Resurser för vård och omsorg.pdf,234900
2023,Säker vård och omsorg,source/Data_split/2023-Säker vård och omsorg.pdf,300920
2023,Tillgänglig vård,source/Data_split/2023-Tillgänglig vård.pdf,230070
2024,Jämlik vård och omsorg ,source/Data_split/2024-Jämlik vård och omsorg .pdf,74452
2024,Kommunal hälso- och sjukvård,source/Data_split/2024-Kommunal hälso- och sjukvård.pdf,114548
2024,Kunskapsbaserad vård och omsorg,source/Data_split/2024-Kunskapsbaserad vård och omsorg.pdf,139748
2024,Munhälsa och tandvård hos äldre,source/Data_split/2024-Munhälsa och tandvård hos äldre.pdf,86923
2024,Resurser för vård och omsorg,source/Data_split/2024-Resurser för vård och omsorg.pdf,75673
2024,Säker vård och omsorg,source/Data_split/2024-Säker vård och omsorg.pdf,121292
2024,Tillgänglig vård,source/Data_split/2024-Tillgänglig vård.pdf,100219
