theme,sections,words
brukarperspektiv_och_kvalitet,35,45100
demografi_och_aktuell_utveckling,22,18622
digitalisering_och_valfardsteknik,19,23997
jamlikhet_och_minoritetsperspektiv,79,56632
kommunal_halso_och_sjukvard,38,30357
lakemedel_och_patientsakerhet,56,38591
metod_indikatorer_och_datakallor,23,85419
munhalsa_och_tandvard,15,15000
omsorgsinsatser_och_boende,68,165054
ovrigt,292,483102
personal_kompetens_och_resurser,36,29488
psykisk_halsa_ensamhet_alkohol,32,46576
sammanhallen_vard_och_samverkan,11,5302
